Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil     131.89mil   7907.796mil     131.89mil   7907.796mil     131.89mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   2184.843mil    378.937mil   2184.843mil    378.937mil   2184.843mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil   2187.795mil   7907.796mil   2187.795mil   7907.796mil   2187.795mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil   2187.795mil   7907.796mil   2187.795mil   7907.796mil   2187.795mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   2184.843mil    378.937mil   2184.843mil    378.937mil   2184.843mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil     131.89mil   7907.796mil     131.89mil   7907.796mil     131.89mil  T         90.00 Comment        
Hole1      Hole_Hole(Primary)    337.654mil   1424.866mil    337.654mil   1424.866mil    337.654mil   1424.866mil  T          0.00                
Hole2      Hole_Hole_1(Primary)   1565.653mil   1424.866mil   1565.653mil   1424.866mil   1565.653mil   1424.866mil  T          0.00                
Hole3      Hole_Hole_2(Primary)    951.654mil    361.866mil    951.654mil    361.866mil    951.654mil    361.866mil  T          0.00                
Pad9       PAD                469.654mil   1201.866mil    469.654mil   1201.866mil    469.654mil   1201.866mil  T          0.00                
Pad10      PAD               1435.653mil   1201.866mil   1435.653mil   1201.866mil   1435.653mil   1201.866mil  T          0.00                
Pad11      PAD_0.1-HOTEND     951.654mil   1070.866mil    951.654mil   1070.866mil    951.654mil   1070.866mil  T          0.00                
Pad12      Pad_0.1_-_oct      807.654mil    349.866mil    807.654mil    349.866mil    807.654mil    349.866mil  T          0.00                
Pad13      PAD               1095.653mil    349.866mil   1095.653mil    349.866mil   1095.653mil    349.866mil  T          0.00                
LED4       LED1206           1681.535mil      530.4mil   1681.535mil      530.4mil    1650.04mil    475.847mil  T        240.00 APT3216SURCK   
LED3       LED1206            226.536mil      531.4mil    226.536mil      531.4mil    258.032mil    476.847mil  T        300.00 APT3216SURCK   
